CodiceAmministrativo;Sezione;IdentificativoSoggetto;TipoSoggetto;IdentificativoImmobile;TipoImmobile;CodiceDiritto;TitoloNonCodificatoIta;TitoloNonCodificatoTed;QuotaNumeratore;QuotaDenominatore;Regime;SoggettoDiRiferimento;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;Partita;DataDiValidita;TipoNota;NumeroNota;ProgressivoNota;AnnoNota;DataDiRegistrazioneInAtti;IdentificativoMutazioneIniziale;IdentificativoMutazioneFinale;IdentificativoTitolarita;
M113;;133779;P;704827;F;2 ;;;1;2;C;467169;25062003;D;000180;001;2004;15012004;;;;;;;;663389;;3767436;
M113;;133779;P;704855;F;2 ;;;1;2;C;467169;25062003;D;000180;001;2004;15012004;;;;;;;;663389;;3767440;
M113;;134099;P;663318;F;2 ;;;1;2;C;0;28071995;D;002662;001;1995;06101995;1000555;;;;;;;276272;;1358757;
M113;;134099;P;663314;F;2 ;;;1;2;C;0;28071995;D;002662;001;1995;06101995;1000555;;;;;;;276272;;1358755;
M113;;135917;P;662875;F;1 ;;;0;0; ;;05052005;D;002352;001;2005;13072005;;;;;;;;723370;;3944696;
M113;;139406;P;663520;F;31 ;;;1;2; ;0;13042000;D;002109;001;2000;08082000;1001073;;;;;;;538264;;3069696;
M113;;139406;P;663515;F;31 ;;;1;2;C;333699;21032002;D;001104;001;2002;08042002;;;;;;;;598771;;3571998;
M113;;140812;P;664006;F;73 ;;;0;0; ;0;24031994;D;002428;002;1994;24051995;1000446;;;;;;;240160;;1241942;
M113;;141115;P;663520;F;3 ;;;0;0; ;;13042000;D;002109;001;2000;08082000;1001073;;;;;;;538264;;3069698;
M113;;141115;P;663515;F;4 ;;;1;2;C;;21032002;D;001104;001;2002;08042002;;;;;;;;598771;;3571996;
M113;;143247;P;663317;F;2 ;;;1;2;C;0;20111995;D;000287;001;1996;05021996;1000654;;;;;;;307914;;1416983;
M113;;143247;P;663313;F;2 ;;;1;2;C;0;20111995;D;000287;001;1996;05021996;1000654;;;;;;;307914;;1416985;
M113;;143247;P;663320;F;2 ;;;1;2;C;231181;19112010;D;000190;001;2011;25012011;;;;;;;;1071668;;4728868;
M113;;146373;P;731950;F;2 ;;;1;2;C;0;17092004;V;003290;001;2004;17092004;;;;;;;;688152;;3854432;
M113;;146373;P;731949;F;2 ;;;1;2;C;0;17092004;V;003290;001;2004;17092004;;;;;;;;688152;;3854430;
M113;;147712;P;664130;F;1 ;;;0;0; ;0;23071998;D;002244;001;1998;08101998;1000877;;;;;;;453307;;2319706;
M113;;147712;P;664131;F;1 ;;;0;0; ;0;23071998;D;002244;001;1998;08101998;1000877;;;;;;;453307;;2319707;
M113;;149572;P;863334;F;2 ;;;1;2;C;648033;30072007;D;012233;001;2007;14082007;;;;;;;;936670;;4327830;
M113;;149572;P;863330;F;2 ;;;1;2;C;648033;30072007;D;012233;001;2007;14082007;;;;;;;;936670;;4327828;
M113;;150102;P;663040;F;2 ;;;500;1000; ;0;01010001;A;000245;001;1992;17031993;0000670;;;;;;;54058;;709385;
M113;;150102;P;663048;F;2 ;;;500;1000; ;0;01010001;A;000245;001;1992;17031993;0000670;;;;;;;54059;;709388;
M113;;150707;P;662178;F;1 ;;;1;2;C;467204;01010001;I;  0000;000;2000;01011992;0000642;;;;;;;220;;596999;
M113;;150707;P;662169;F;1 ;;;1;2;C;467204;01010001;I;  0000;000;2000;01011992;0000642;;;;;;;220;;597003;
M113;;150707;P;662175;F;1 ;;;1;2;C;467204;01010001;I;  0000;000;2000;01011992;0000642;;;;;;;220;;597002;
